Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2020,December,1 North West Metro, Moonee Valley,"3,559","2,810.7"
2020,December,1 North West Metro, Nillumbik,875,"1,362.1"
2020,December,1 North West Metro, Whittlesea,"6,112","2,649.4"
2020,December,1 North West Metro, Wyndham,"6,846","2,387.1"
2020,December,1 North West Metro, Yarra,"6,056","6,272.6"
2020,December,1 North West Metro,Total,"77,541","3,450.3"
2020,December,2 Eastern, Alpine,187,"1,435.4"
2020,December,2 Eastern, Bass Coast,"1,179","3,033.3"
2020,December,2 Eastern, Baw Baw,"1,671","3,002.9"
2020,December,2 Eastern, Benalla,500,"3,482.4"
2020,December,2 Eastern, Boroondara,"4,070","2,290.1"
2020,December,2 Eastern, East Gippsland,"1,980","4,143.1"
2020,December,2 Eastern, Greater Shepparton,"2,877","4,207.5"
2020,December,2 Eastern, Indigo,232,"1,357.6"
2020,December,2 Eastern, Knox,"4,476","2,745.7"
2020,December,2 Eastern, Latrobe,"4,706","6,144.9"
2020,December,2 Eastern, Manningham,"2,151","1,682.9"
2020,December,2 Eastern, Mansfield,160,"1,637.3"
2020,December,2 Eastern, Maroondah,"2,788","2,360.0"
2020,December,2 Eastern, Mitchell,"1,646","3,430.3"
2020,December,2 Eastern, Moira,788,"2,605.5"
2020,December,2 Eastern, Monash,"5,426","2,704.3"
2020,December,2 Eastern, Murrindindi,337,"2,269.8"
2020,December,2 Eastern, South Gippsland,665,"2,200.4"
2020,December,2 Eastern, Strathbogie,280,"2,513.7"
2020,December,2 Eastern, Towong,109,"1,769.5"
2020,December,2 Eastern, Wangaratta,761,"2,582.5"
2020,December,2 Eastern, Wellington,"1,790","3,975.2"
2020,December,2 Eastern, Whitehorse,"4,264","2,414.2"
2020,December,2 Eastern, Wodonga,"1,233","2,895.2"
2020,December,2 Eastern, Yarra Ranges,"3,047","1,920.5"
2020,December,2 Eastern,Total,"47,323","2,748.4"
2020,December,3 Southern Metro, Bayside,"2,574","2,454.2"
2020,December,3 Southern Metro, Cardinia,"2,798","2,405.8"
2020,December,3 Southern Metro, Casey,"9,353","2,573.8"
2020,December,3 Southern Metro, Frankston,"5,033","3,544.8"
2020,December,3 Southern Metro, Glen Eira,"3,946","2,554.3"
2020,December,3 Southern Metro, Greater Dandenong,"7,236","4,372.8"
2020,December,3 Southern Metro, Kingston,"4,633","2,842.6"
2020,December,3 Southern Metro, Mornington Peninsula,"4,043","2,379.5"
2020,December,3 Southern Metro, Port Phillip,"6,002","5,432.7"
2020,December,3 Southern Metro, Stonnington,"5,040","4,479.0"
2020,December,3 Southern Metro,Total,"50,658","3,161.4"
2020,December,4 Western, Ararat,526,"4,421.7"
2020,December,4 Western, Ballarat,"4,039","3,623.2"
2020,December,4 Western, Buloke,146,"2,375.5"
2020,December,4 Western, Campaspe,"1,131","2,951.7"
2020,December,4 Western, Central Goldfields,411,"3,094.4"
2020,December,4 Western, Colac-Otway,648,"2,913.9"
2020,December,4 Western, Corangamite,320,"1,989.4"
2020,December,4 Western, Gannawarra,267,"2,528.9"
2020,December,4 Western, Glenelg,537,"2,681.5"
2020,December,4 Western, Golden Plains,279,"1,147.1"
2020,December,4 Western, Greater Bendigo,"4,028","3,363.6"
2020,December,4 Western, Greater Geelong,"8,729","3,287.2"
2020,December,4 Western, Hepburn,353,"2,164.3"
2020,December,4 Western, Hindmarsh,188,"3,321.6"
2020,December,4 Western, Horsham,687,"3,375.8"
2020,December,4 Western, Loddon,205,"2,681.8"
2020,December,4 Western, Macedon Ranges,865,"1,702.6"
2020,December,4 Western, Mildura,"2,414","4,216.1"
2020,December,4 Western, Moorabool,893,"2,421.2"
2020,December,4 Western, Mount Alexander,347,"1,743.2"
2020,December,4 Western, Moyne,273,"1,599.9"
2020,December,4 Western, Northern Grampians,393,"3,334.2"
2020,December,4 Western, Pyrenees,240,"3,187.3"
2020,December,4 Western, Queenscliffe,67,"2,169.0"
2020,December,4 Western, Southern Grampians,410,"2,488.0"
2020,December,4 Western, Surf Coast,711,"1,988.4"
2020,December,4 Western, Swan Hill,810,"3,772.4"
2020,December,4 Western, Warrnambool,"1,102","3,116.7"
2020,December,4 Western, West Wimmera,72,"1,805.4"
2020,December,4 Western, Yarriambiack,221,"3,331.8"
2020,December,4 Western,Total,"31,312","3,029.4"
2020,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,930,
2020,December,Justice Institutions and Immigration Facilities,Total,930,
2020,December,Unincorporated Vic, Unincorporated Vic,13,
2020,December,Unincorporated Vic,Total,13,
2019,December,1 North West Metro, Banyule,"3,845","2,946.9"
2019,December,1 North West Metro, Brimbank,"8,182","3,960.1"
2019,December,1 North West Metro, Darebin,"7,338","4,669.1"
2019,December,1 North West Metro, Hobsons Bay,"2,723","2,844.6"
2019,December,1 North West Metro, Hume,"8,810","3,747.5"
2019,December,1 North West Metro, Maribyrnong,"4,283","4,792.0"
2019,December,1 North West Metro, Melbourne,"13,907","8,223.1"
2019,December,1 North West Metro, Melton,"4,996","3,022.5"
2019,December,1 North West Metro, Merri-bek,"7,025","3,920.9"
2019,December,1 North West Metro, Moonee Valley,"3,861","3,057.3"
2019,December,1 North West Metro, Nillumbik,945,"1,467.3"
2019,December,1 North West Metro, Whittlesea,"6,818","3,019.2"
2019,December,1 North West Metro, Wyndham,"6,792","2,489.3"
2019,December,1 North West Metro, Yarra,"6,907","7,160.6"
2019,December,1 North West Metro,Total,"86,432","3,904.1"
2019,December,2 Eastern, Alpine,231,"1,792.9"
2019,December,2 Eastern, Bass Coast,"1,094","2,926.5"
2019,December,2 Eastern, Baw Baw,"1,942","3,598.3"
2019,December,2 Eastern, Benalla,470,"3,305.4"
2019,December,2 Eastern, Boroondara,"4,304","2,397.1"
